AdditionalInfoId,DetailMarketId,PriceRange,AreaSize,AvailableSpaces,ParkingSpots,Toilets,OperationTime,Transportation,VendorNotes
461,461,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
462,462,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
463,463,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวันอังคารเวลา 06.3009.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
464,464,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวันจันทร์ เวลา 13.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
465,465,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันเวลา 15.0020.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
466,466,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันเวลา 07.0017.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
467,467,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันเวลา 16.0020.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
468,468,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันอังคารพฤหัสบดี เวลา 16.0020.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
469,469,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันเวลา 04.0021.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
470,470,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวัน24ชั่วโมง,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
471,471,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันเวลา 15.0020.30น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
472,472,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดวัน อาทิตย์ เวลา 16.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
473,473,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
474,474,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
475,475,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 02.0007.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
476,476,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
477,477,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
478,478,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 05.0019.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
479,479,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
480,480,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.0017.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
481,481,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 12.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
482,482,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0019.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
483,483,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
484,484,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 01.0012.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
485,485,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
486,486,-,2 ไร่,-,30 คัน,10 ห้อง,เปิดทุกวัน เวลา 08:0020:00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
487,487,-,3 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 08:0018:00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
488,488,-,3 ไร่,-,60 คัน,20 ห้อง,เปิดทุกวัน เวลา 10:0023:00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
489,489,-,-,-,50 คัน,6 ห้อง,เปิดทุกวัน จันทร์  อาทิตย์ เวลา 8:00  18:30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกกประเภท
490,490,-,2 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน เวลา 06:0018:00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
491,491,-,-,-,50 คัน,6 ห้อง,"เปิดทุกวัน อังคาร , พฤหัสบดี , อาทิตย์ เวลา 10:00  19:00 น.",รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกกประเภท
492,492,-,-,-,50 คัน,6 ห้อง,เปิดทุกวัน จันทร์  อาทิตย์ เวลา 8:00  18:30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกกประเภท
493,493,-,-,-,50 คัน,6 ห้อง,เปิดทุกวัน จันทร์  อาทิตย์ 24 ชม.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกกประเภท
494,494,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 05.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
495,495,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 08.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
496,496,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวันอังคาร และวันพฤหัสบดี 03.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
497,497,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดวันศุกร์ และวันเสาร์ เวลา 15.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
498,498,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 04.30  19.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
499,499,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน 24 ชั่วโมง,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
500,500,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
501,501,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 05.00  18.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
502,502,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน 24 ชั่วโมง,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
503,503,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดวันพฤหัสบดี เวลา 16:00  19:00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
504,504,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 12.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
505,505,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดวันพุธ ถึง วันจันทร์ เวลา 08.30  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
506,506,-,2 ไร่,-,100 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
507,507,-,2 ไร่,-,60 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
508,508,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดวันอังคารและวันศุกร์ เวลา 06.00  12.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
509,509,-,2 ไร่,-,50 คัน,10 ห้อง,เปิดวันศุกร์ และวันเสาร์ เวลา 16.00  20.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
510,510,-,-,-,-,-,-,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
511,511,-,2 ไร่,-,50 คัน,10 ห้อง,เปิดวันศุกร์ และ วันเสาร์ เวลา 14.00  22.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
512,512,-,2 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 04.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
513,513,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 04.00  19.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
514,514,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 09.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
515,515,-,2 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 04.00  23.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
516,516,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดวันอังคาร เวลา 13:00  19:30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
517,517,-,2 ไร่,-,100 คัน,10 ห้อง,เปิดวันเสาร์ และอาทิตย์ เวลา 15.00 – 22.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
518,518,-,2 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 03.30  11.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
519,519,-,1 ไร่,-,50 คัน,10 ห้อง,"เปิดวันพุธ เวลา 12.00  19.00 , เปิดวันเสาร์ และวันอาทิตย์ เวลา 05.00  12.00 น.",รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
520,520,-,2 ไร่,-,100 คัน,10 ห้อง,เปิดทุกวัน เวลา 09.30  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
521,521,-,5 ไร่,-,100 คัน,20 ห้อง,เปิดทุกวัน เวลา 05.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
522,522,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดวันเสาร์ และ วันอาทิตย์ เวลา 15.30  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
523,523,-,2 ไร่,-,50 คัน,10 ห้อง,เปิดวันศุกร์ และ วันเสาร์ เวลา 18.00  21.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
524,524,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 13.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
525,525,-,2 ไร่,-,100 คัน,10 ห้อง,เปิดทุกวัน เวลา 06.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
526,526,-,1 ไร่,-,30 คัน,10 ห้อง,เปิดทุกวัน เวลา 13.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
527,527,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดวันจันทร์ วันพุธ และวันศุกร์ เวลา 07.00  14.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
528,528,-,1 ไร่,-,50 คัน,10 ห้อง,"เปิดวันพุธ,วันศุกร์และวันอาทิตย์ เวลา 14:00  19:00 น.",รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
529,529,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดวันเสาร์ และ วันอาทิตย์ เวลา 16.00  22.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
530,530,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน 24 ชั่วโมง,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
531,531,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 07.30  18.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
532,532,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 15.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
533,533,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดวันอังคาร วันศุกร์ และวันเสาร์ เวลา 14.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
534,534,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 14.30  19.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
535,535,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดวันอังคาร วันศุกร์ และวันอาทิตย์ เวลา 14.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
536,536,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 13.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
537,537,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 06.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
538,538,-,2 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 14.00  18.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
539,539,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดวันศุกร์ วันเสาร์ และวันอาทิตย์ เวลา 07.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
540,540,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดวันจันทร์ และ วันพฤหัสบดี เวลา 08.00  19.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
541,541,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดวันจันทร์ 06.30  12.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
542,542,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 07.00 – 18.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
543,543,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.00  18.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
544,544,-,2 ไร่,-,50 คัน,10 ห้อง,เปิดวันศุกร์ ถึงวันอาทิตย์ เวลา 14.00  22.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
545,545,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดวันพุธ เวลา 14.00  18.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
546,546,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดวันเสาร์ และอาทิตย์ เวลา 09.00 – 18.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
547,547,-,2 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 06.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
548,548,-,1 ไร่,-,40 คัน,10 ห้อง,เปิดทุกวัน เวลา 06.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
549,549,-,1 ไร่,-,50 คัน,10 ห้อง,เปิดวันศุกร์ ถึง วันพุธ เวลา 10.00  18.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
550,550,-,2 ไร่,-,50 คัน,10 ห้อง,เปิดทุกวัน เวลา 06.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
551,551,-,2 ไร่,-,50 คัน,10 ห้อง,เปิดวันอังคาร วันพฤหัสบดี วันศุกร์ และวันอาทิตย์ เวลา 10.30  20.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
552,552,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 09.00  00.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
553,553,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 07.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
554,554,-,2 ไร่,-,50 คัน,10 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
555,555,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 02.30  19.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
556,556,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
557,557,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 08.00  17.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
558,558,-,2 ไร่,-,30 คัน,10 ห้อง,ทุกวัน เวลา 15:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
559,559,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 09.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าาทุกประเภท
560,560,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 14.30  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
561,561,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 24 ชั่วโมง,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
562,562,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 15.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
563,563,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
564,564,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 08.00  18.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
565,565,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
566,566,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 02.30  19.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
567,567,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
568,568,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 08.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
569,569,-,2 ไร่,-,20 คัน,10 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
570,570,-,2 ไร่,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
571,571,-,1 ไร่,-,50 คัน,10 ห้อง,"เปิดวันอังคาร, วันศุกร์, วันอาทิตย์ เวลา 15:00–22:00",รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
572,572,-,1,-,30 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
573,573,-,2 ไร่,-,50 คัน,10 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
574,574,-,2 ไร่,-,30 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
575,575,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
576,576,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
577,577,-,1 ไร่,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
578,578,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
579,579,-,-,-,50 คัน,6 ห้อง,"เปิดทุกวัน อังคาร , ศุกร์ เวลา 14:00  20:00 น.",รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกกประเภท
580,580,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
581,581,-,-,-,100 คัน,6 ห้อง,เปิดทุกวัน จันทร์  อาทิตย์ เวลา 8:00  20:00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกกประเภท
582,582,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
583,583,-,-,-,50 คัน,6 ห้อง,เปิดทุกวัน จันทร์  อาทิตย์ เวลา 8:00  20:00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกกประเภท
584,584,-,1,-,20 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
585,585,-,-,-,50 คัน,6 ห้อง,เปิดทุกวัน จันทร์  อาทิตย์ เวลา 4:00  19:00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกกประเภท
586,586,-,2 ไร่,-,30 คัน,5 ห้อง,ทุกวัน เวลา 08:0020:00,รถส่วนตัว,รับสินค้าทุกประเภท
587,587,-,-,-,50 คัน,6 ห้อง,เปิดทุกวัน จันทร์  อาทิตย์ เวลา 8:00  20:00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกกประเภท
588,588,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 09.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
589,589,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
590,590,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 03.00  19.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
591,591,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ 24 ชั่วโมง,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
592,592,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 21.00  05.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
593,593,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
594,594,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
595,595,-,1 ไร่,-,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 16.00  22.30 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
596,596,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันเวลา 08.0021.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
597,597,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันเวลา 04.0010.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
598,598,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันเวลา 14.0021.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
599,599,-,2ไร่,-,50 คัน,6 ห้อง,เปิดทุกวันเวลา 06.0002.00น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
600,600,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
601,601,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
602,602,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 09.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
603,603,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 11.0023.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
604,604,-,2 ไร่,-,10 คัน,10 ห้อง,"เปิดวัน เสาร์ , อาทิตย์ เวลา 09.0016.00 น.",รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
605,605,-,2 ไร่,-,10 คัน,10 ห้อง,"เปิดวัน เสาร์ , อาทิตย์ เวลา 08.0017.00 น.",รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
606,606,-,2 ไร่,-,10 คัน,10 ห้อง,เปิดทุกวัน เวลา 08.0020.00 น.,รถยนต์ส่วนตัว,รับสินค้าทุกประเภท
