DetailMarketId,MarketId,MarketDetail,RatingDetail,AddressDetail,GoogleMapLink
501,501,ตลาดสดเทศบาลนาโพธิ์,4.30 (163),61 ซอย เทศบาล 1 ตำบลนาโพธิ์ อำเภอนาโพธิ์ บุรีรัมย์ 31230  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJxeVy2BpbGDER8aowPMtOWKM
502,502,ตลาดแฮปปี้ไลท์ เลขที่ 150/93,3.80 (55),ตำบลในเมือง อำเภอเมืองบุรีรัมย์ บุรีรัมย์ 31000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJH0zZNOqVGTERZ3ns8dcT8QI
503,503,ตลาดประชารัฐอำเภอบ้านด่าน ที่อยู่ 127 ม.4,4.60 (93),ตำบลบ้านด่าน อำเภอบ้านด่าน บุรีรัมย์ 31000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ4X3SnFm_GTERk8gfey41u0s
504,504,ตลาดสายหยุด (ตลาดชุมชนศรีพนา) ตั้งอยู่ในตัวชุมชนตำบลศรีพนา,4.30 (213),เซกา อ.เซกา บึงกาฬ  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ6xEiGyYVOzERrin3-SgzQiI
505,505,ตลาดสดเทศบาลบุ่งคล้า,4.80 (13),ตำบลบุ่งคล้า อำเภอบุ่งคล้า บึงกาฬ 38000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJMZHSHuXhOjERc16_LYAj0ts
506,506,ตลาดสดเทศบาลบึงโขงหลง,4.20 (265),ตำบลบึงโขงหลง อำเภอบึงโขงหลง บึงกาฬ  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJc7E3MqkTOzERGG6Jz5FaCIg
507,507,ตลาดนัดบึงโขงหลง อยู่หน้าตลาดสดเทศบาลบึงโขงหลง,0.00 (0),ตำบลบึงโขงหลง อำเภอบึงโขงหลง บึงกาฬ 38220  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJc7E3MqkTOzERGG6Jz5FaCIg
508,508,ตลาดนัด ไทย  ลาว บึงกาฬ ใกล้กับ บริเวณ สวนสาธารณะบึงกาฬ,0.00 (0),บึงกาฬ อำเภอเมืองบึงกาฬ บึงกาฬ 38000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJR5ddLS7XOjERAYdVDdGZR18
509,509,ถนนคนเดินข้าวเม่า ลานริมโขง,4.40 (243),404 หมู่ 1บ.บึงกาฬเหนือ ถนนข้าวเม่าริมโขง ตำบลวิศิษฐ์ อำเภอเมืองบึงกาฬ 38000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJnWf_fvfXOjEREAJiyA51Ro0
510,510,ตลาดสดเทศบาลเมืองบึงกาฬ,3.90 (592),ตำบลวิศิษฐ์ อำเภอเมืองบึงกาฬ บึงกาฬ 38000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJe2Kvpo7WOjER8bAImex5eoY
511,511,ตลาดต้องชมเตียวกาดแลงเมืองปัว,4.40 (259),ตำบลปัว อำเภอปัว น่าน 55120  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ9wYpT6zhJzERqJ5XndaAA6Y
512,512,ตลาดสดเทศบาลตำบลและ อำเภอทุ่งช้าง,4.10 (92),ตำบลทุ่งช้าง อำเภอทุ่งช้าง น่าน 55130  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ0Xi32nIOKDERnMNn-i1KdsA
513,513,ตลาดสดเทศบาลอำเภอเชียงกลาง อำเภอเชียงกลาง,4.20 (277),ตำบลเชียงกลาง อำเภอเชียงกลาง น่าน 55160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJoSjz1KYJKDERinURZUgrx2k
514,514,ตลาดต้องชมกาดวัฒนธรรมข่วงเมืองสา,4.60 (18),ตำบลกลางเวียง อำเภอเวียงสา น่าน 55110  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJH3P_ep-DJzER8rTsztI57WQ
515,515,ตลาดสดธีระชัย,4.10 (389),ตำบลเจริญผล อำเภอบรรพตพิสัย นครสวรรค์ 60180  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJQfKT0LZg4DAROUoXu4cHcIE
516,516,ตลาดนัด มหาโพธิ์เหนือ,4.30 (37),ตำบลเก้าเลี้ยว อำเภอเก้าเลี้ยว นครสวรรค์ 60230  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ6RN5matc4DARZzBJD4zHS7o
517,517,ตลาดเจ้าค่ะ,4.60 (136),ต.เขาดิน อำเภอเก้าเลี้ยว นครสวรรค์ 60230  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJawEsirVb4DARklmo1ACNSuw
518,518,ตลาดเพชรพิชญา ตำบลปากน้ำโพ อำเภอเมืองนครสวรรค์ นครสวรรค์,4.40 (186),ตำบลปากน้ำโพ อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJyQTNlGxP4DAREMLzK0myor8
519,519,ตลาดนัดหน้าค่าย 1 ตำบล กลางแดด อำเภอเมืองนครสวรรค์ นครสวรรค์,4.60 (176),ตำบลกลางแดด อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJm8jT1XJP4DARpVaPegmtXz4
520,520,ตลาดศรีนคร 558/99100 หมู่ 9 ถนน นครสวรรค์ตก ตำบล นครสวรรค์ตก อำเภอ เมืองนครสวรรค์ จังหวัด นครสวรรค์,"4.30 (3,150)",558/99100 หมู่ 9 ถนน นครสวรรค์ตก ตำบลนครสวรรค์ตก อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJEYSy0UtO4DAR5u9jKzRG1hM
521,521,ตลาดรวยทรัพย์ เยื้องการเคหะนครสวรรค์ 73 15 ถนนจักรวาล ตำบลวัดไทร อำเภอเมืองนครสวรรค์ นครสวรรค์,0.00 (0),73 15 ถนนจักรวาล ตำบลวัดไทร อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJa08dJshP4DARGiZl4CZStcw
522,522,ตลาดท่าเรือคลองคาง ตำบล บึงเสนาท ตะเคียนเลื่อน นครสวรรค์,4.40 (369),ตำบลบึงเสนาท ตะเคียนเลื่อน นครสวรรค์ 60000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJdSuCqqpP4DAR1XQMjeRT7_8
523,523,ถนนคนเดินนครสวรรค์ 38 40 อรรถกวี ตำบลตะเคียนเลื่อน อำเภอเมืองนครสวรรค์ นครสวรรค์,4.40 (508),38 40 อรรถกวี ตำบลตะเคียนเลื่อน อำเภอเมืองนครสวรรค์ นครสวรรค์  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ4fi0BYBP4DAR7L-yn6Khf4E
524,524,บริเวณตลาดหน้าค่ายพระยอดเมืองขวาง ตำบลกุรุคุ,4.20 (50),ถนน 22 ตำบลกุรุคุ อำเภอเมืองนครพนม จังหวัดนครพนม  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJN5kvDxByPDER-yc8m1McaU8
525,525,ตลาดสดเทศบาลตำบลนาแก,0.00 (0),ตำบลนาแก อำเภอนาแก นครพนม 48130  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJXc1Jjy9PPDERLTdvzbH27kw
526,526,ตลาดสวัสดิการเจ้าหน้าที่,0.00 (0),ภายในมหาวิทยาลัยศิลปากร สนามจันทร์ อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJN6YVUsrl4jARSOD5yJyQzfQ
527,527,ตลาดโรงพยาบาล (โครงการเกษตรปลอดภัย) ข้าง 711,2.70 (334),196 ถนน เทศา ตำบลพระปฐมเจดีย์ อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJK8G7dfTl4jARDWB6-dN2AbE
528,528,ตลาดนัดบ้านนา,4.20 (92),ตลาดนัดบ้านนา ตำบลโพรงมะเดื่อ อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJA_IgjVrl4jARA0pOS1nNMmU
529,529,ตลาดถนนคนเดินทวารวดีศรีนครปฐม,"4.50 (1,750)",ตำบลพระปฐมเจดีย์ อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJRbTgecDl4jAR9-vApVTeUuA
530,530,ตลาดเกษตร เทศบาลนคร (หน้า กศน.),0.00 (0),ตำบลนครปฐม อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJg2RpaqTl4jAR3AxnMFqcwn4
531,531,ตลาดสดเทศบาล 1 (ตลาดโอเดียน),4.10 (531),108 ถนน หลังพระ ตำบลพระปฐมเจดีย์ อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJKQ5e8cHl4jARTYxtz2n8F9w
532,532,ตลาดนัดมหาวิทยาลัยศิลปากร,4.50 (154),ภายในมหาวิทยาลัยศิลปากร (สนามจันทร์) อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJN6YVUsrl4jARSOD5yJyQzfQ
533,533,ตลาดนัดลำพยา,4.40 (125),หนองปากโลง อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJDWxQL2bl4jARL4hJpUzLiUo
534,534,ตลาดหลังเวล,0.00 (0),"ถ.ราชมรรคา ต.สนามจันทร์ อ.เมือง จ.นครปฐม, 73000  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJu4HKqrnl4jARl0gmpgxsaTE
535,535,ตลาดนัดวัดใหม่ปิ่นเกลียว,4.40 (76),ตลาดนัดวัดใหม่ปิ่นเกลียว เมือง นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJV5CZNVLk4jARIr3fCJd2MMU
536,536,ตลาดนัดวังตะกู,3.80 (9),ตำบลวังตะกู อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJEdT6iXvl4jARCXpYt0LGd1c
537,537,ตลาดนัดวัดเกาะวังไทร,4.30 (49),ตำบลถนนขาด อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJu6ORgqTn4jARWF2eD8ITdJQ
538,538,ตลาดปฐมนคร,4.20 (244),เพชรเกษม 19 ตำบลบางแขม อำเภอเมืองนครปฐม นครปฐม 73000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJvSVXVAfn4jARm5QW-Mjqbjs
539,539,ตลาดแผงผลไม้เขื่อนขุนด่านปราการชล,4.20 (122),ตำบลหินตั้ง อำเภอเมืองนครนายก นครนายก 26000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJK9Fc2qu1HTER9aUpkxYLNI8
540,540,ตลาดนัดศรีเมือง (บขส.เก่า),4.10 (7),ตำบลท่าช้าง อำเภอเมืองนครนายก นครนายก 26000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJQYhiVSqwHTEREWt5Cr3UYS0
541,541,ตลาดนัดผ้า วันจันทร์,4.00 (68),ซอย ไชยพันธ์ ตำบลบ้านใหญ่ อำเภอเมืองนครนายก นครนายก 26000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJORhOpSmuHTERWlyaOutmyaI
542,542,ตลาดต้องชมวัดมณีวงศ์,"4.60 (3,838)",75 ม.2 ต.ดงละคร อ.เมือง จ.นครนายก  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJJZ1I_gyvHTERaw8UDrFHvvs
543,543,ตลาดโรงเกลือนครนายก,"3.90 (6,618)",ทางหลวงแผ่นดินหมายเลข. 3049 ตำบลสาริกา อำเภอเมืองนครนายก นครนายก 26000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJHTEF542xHTERd9N-wfXEOmg
544,544,ตลาดสิงห์ คัลเลอร์ มาร์เก็ต,5.00 (9),เลขที่ 1 ตำบลบ้านใหญ่ อำเภอเมืองนครนายก นครนายก 26000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJZzWQYeKxHTERUI_GYbvmwD0
545,545,ตลาดนัด จปร.,4.70 (6),ตำบลพรหมณี อำเภอเมืองนครนายก นครนายก 26000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJzdI1VbCwHTER4huUDAECyPg
546,546,ตลาดต้องชมวัดหลวงพ่อปากแดง,"4.30 (4,567)",95 หมู่ 5 ตำบลสาริกา อำเภอเมืองนครนายก จังหวัดนครนายก 26000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJp5_puo6xHTEROSXucJqmq04
547,547,ตลาดสดย่านตาขาว,3.90 (254),"ตลาดสด, ตำบลย่านตาขาว อำเภอย่านตาขาว ตรัง 92140  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJQ30XfVWWTTARFpldODSSBnI
548,548,ตลาดนัดคลองชี,4.50 (41),"18, ถนนเพชรเกษม 7, ตำบลวังมะปรางเหนือ อำเภอวังวิเศษ จังหวัดตรัง, 92220  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJ9T2RAMAIUjAROSCQBKbJKS8
549,549,ตลาดนัดเขาวิเศษ,4.10 (158),ตำบลเขาวิเศษ อำเภอวังวิเศษ ตรัง 92220  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJncEUz-P1TTARSV1b_O3uhP0
550,550,ตลาดเสริมสุข,4.40 (13),ตำบลห้วยยอด อำเภอห้วยยอด ตรัง 92130  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJiXIG1QxzUjAR7f4r06khV38
551,551,ตลาดสุขสันต์,4.40 (225),ถ.เพชรเกษม ตำบลคลองปาง อำเภอรัษฎา ตรัง 92160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ6dy4e_RpUjARh2TvSd7jpjo
552,552,ตลาด บขส เก่า,4.10 (221),X77G+V9X ตำบล เมืองใหม่ อำเภอ ศรีบุญเรือง หนองบัวลำภู 39180  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJayiN3J_NIzERWUucGOmP0hI
553,553,ตลาดธวัชดินแดง,4.40 (215),4R7W+QMP ตำบล ธงธานี อำเภอธวัชบุรี ร้อยเอ็ด 45170  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJUeKvuVNfPTERCphRG2D47Dk
554,554,ตลาดสดศรีฟ้า,4.30 (170),ลิปะน้อย อำเภอเกาะสมุย สุราษฎร์ธานี 84140  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJy3pVLbX1VDARjdnMw2nEMIY
555,555,ตลาดสดเทศบาลตำบลหนองพอก,3.10 (14),ตำบล หนองพอก อำเภอ หนองพอก ร้อยเอ็ด 45210  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJVfACwbd2PTERqDqaKP9K764
556,556,ตลาดสดบ่อผุดมโน,4.30 (273),บ่อผุด อำเภอเกาะสมุย สุราษฎร์ธานี 84320  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ35PQwvTwVDAR6WVIkAcTryY
557,557,ตลาดหนองหมื่นถ่าน,4.30 (86),QX6W+H3R ถนน รณชัยชาญยุทธ ตำบล โพธิ์ใหญ่ อำเภอ พนมไพร ร้อยเอ็ด 45140  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ7fUSmTrBFzER8g279HJd65w
558,558,ตลาดลิปะใหญ่,4.10 (99),ตำบล อ่างทอง อำเภอเกาะสมุย สุราษฎร์ธานี 84140  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJCd7AolD2VDAR4uq6nj9Tc_w
559,559,ตลาดสดเทศบาลแวง,3.50 (2),"หมู่ที่ 1, ตลาดเทศบาลตำบลแวง, ตำบลแวง อำเภอโพนทอง จังหวัดร้อยเอ็ด, 45110  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJIwqVdstuPTER8KsgEsECZLM
560,560,ตลาดธงธานี,4.20 (130),4R7W+M8Q ตำบล ธงธานี อำเภอธวัชบุรี ร้อยเอ็ด 45170  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ9fPUT_5fPTERD9HEAwGPHqo
561,561,ตลาดรักความซื่อ,0.00 (0),หน้าโรงงานลิเบอร์ตี้ ตำบล ป่าฝา อำเภอ จังหาร ร้อยเอ็ด 45000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ89_t7_1VPTERdaTfVWLVNa0
562,562,ตลาดสดเทศบาล,4.10 (146),ประเทศ ไทย J8PV+5XR ตลาดสดเทศบาล หมู่ 9 บ้าน ตลาด ถนน ทางหลวงแผ่นดินหมายเลข 2392 ตำบล บัวแดง อำเภอ ปทุมรัตน์ ร้อยเอ็ด 45190  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJqUMPz0U7GDERjYlNMUZS0nw
563,563,ตลาดนัดโรงกระเบื้อง,2.80 (10),ตำบล กรูด อำเภอกาญจนดิษฐ์ สุราษฎร์ธานี 84160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJvattZJELVDARN6Z8Jgtj9ns
564,564,ตลาดสดเทศบาล,4.00 (233),50 ถ. แจ้งสนิท ตำบล ขวัญเมือง อำเภอเสลภูมิ ร้อยเอ็ด 45120  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJbzC8ZbXfFzERrWImqYSpVTY
565,565,ตลาดสดเทศบาลเมืองดอนสัก,3.60 (22),ตำบล ดอนสัก อำเภอ ดอนสัก สุราษฎร์ธานี 84220  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ5RxVs-ZkVDARl1sBp_5OHbI
566,566,ตลาดสดเทศบาลตำบลหนองพอก,3.80 (86),ตำบล หนองพอก อำเภอ หนองพอก ร้อยเอ็ด 45210  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJP2rwpbd2PTERK9Ui4BGSa4M
567,567,ตลาดนัดแยกบ้านใน,4.20 (293),ตำบล ปากแพรก อำเภอ ดอนสัก สุราษฎร์ธานี 84340  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJDU1c39l2VDARWBWO0-L8fEs
568,568,ตลาดสดเทศบาลชัยวารี,4.10 (218),"หมู่ที่ 2, ตลาดสดเทศบาลตำบลชัยวารี, ตำบลขามเปี้ย อำเภอโพธิ์ชัย จังหวัดร้อยเอ็ด, 45230  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJW7u7fq5FPTERiatp8dbMS6s
569,569,ตลาดสดแม่โสภา,4.30 (7),"ตำบลเวียงสระ อำเภอเวียงสระ จังหวัดสุราษฎร์ธานี, 84190  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJlXfZGFfDUzARMR9XhjQVSA4
570,570,ตลาดนัดวัดอินทราวาส กม .53,4.30 (49),ตำบล กะเปา อำเภอ คีรีรัฐนิคม สุราษฎร์ธานี 84180  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJgVwW9U1JUTAR0iGMBJJG8ys
571,571,ตลาดกล้วย กล้วย (โลตัสลพบุรี),4.40 (996),100 ถ. พหลโยธิน ตำบลท่าศาลา อำเภอเมืองลพบุรี ลพบุรี 15000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJlWLi-pwAHjERdCz3-oJJpeg
572,572,ตลาดสดบ้านควนสามัคคี,4.30 (33),ตำบล พ่วงพรมคร อำเภอ เคียนซา สุราษฎร์ธานี 84210  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJzYSKDbrfUzARgwVCX0pSi-A
573,573,ตลาดสดศรีมงคล,3.80 (37),ตำบล เขาวง อำเภอบ้านตาขุน สุราษฎร์ธานี 84230  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJr6Yy-ZpIUTARuT9AiJQGN58
574,574,ตลาดนัดวัดตาขุน,4.30 (91),ตำบล เขาวง อำเภอบ้านตาขุน สุราษฎร์ธานี 84230  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ8YxdOIRIUTARDu4ze5X2uqY
575,575,ตลาดนัดทับใหม่,4.30 (17),ตำบล บ้านเสด็จ อำเภอ เคียนซา สุราษฎร์ธานี 84260  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJlWNF8BJdUTAReUCcYauPgXg
576,576,ตลาดนัดชุมชนหน้าควนสามัคคีสามแยกบ่อพระ,3.60 (10),ตลาด อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJxVZC8R8HVDARILPk1XK0OA8
577,577,ตลาดนัดเปิดท้ายว่าที่การอำเภอเคียนซา,4.00 (35),เวียงสระ อำเภอเวียงสระ สุราษฎร์ธานี 84190  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJI6sl51fbUzARtLi9MrdZhx4
578,578,ตลาดนัดควนกลิ้ง,0.00 (0),ตำบล บ้านเสด็จ อำเภอ เคียนซา สุราษฎร์ธานี 84260  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJleBdbABdUTARchmD_KDxo-M
579,579,ตลาดนัดศรีตรังย่านตาขาว,4.20 (78),9MM9+VJ2 ตำบลย่านตาขาว อำเภอย่านตาขาว ตรัง 92140 https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4033.644089242885!2d99.66687871466283!3d7.384936868978924!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304d96faf49f779f%3A0x4d5202d22bb1fc6!2z4LiV4Lil4Liy4LiU4LiZ4Lix4LiU4Lio4Lij4Li14LiV4Lij4Lix4LiH!5e0!3m2!1sth!2sth!4v1727775248761!5m2!1sth!2sth  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJn3ef9PqWTTARxh-7Ii0g1QQ
580,580,ตลาดสดอำเภอชัยบุรี,3.70 (21),ตำบล สองแพรก อำเภอ ชัยบุรี สุราษฎร์ธานี 84350  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ_7tEhl55UTARhxkuLF-QxjU
581,581,ตลาดสดเทศบาลตำบลบ้านเต่า,4.30 (139),ตำบลบ้านเต่า อำเภอบ้านแท่น ชัยภูมิ 36190  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJH1faRQhFUjARxHiwrXFzLFA
582,582,ตลาดเทศบาลตำบลพนม,4.20 (17),ตำบล พนม อำเภอพนม สุราษฎร์ธานี 84250  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJPQ393-04UTARm77csDB9pmE
583,583,ตลาดสดเทศบาลตำบลภูเขียว,4.20 (247),774 ชย.4017 ตำบลผักปัง อำเภอภูเขียว ชัยภูมิ 36110  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJJWLBeTMDIjEROTGHiOOb-_k
584,584,ตลาดนัด กม.72,3.50 (13),ตำบลมะขามเตี้ย อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJa1u55r8JVDARrNWZOieWonA
585,585,ตลาดสดเทศบาลบ้านเขว้า,4.30 (281),QW77+J5J ตำบลบ้านเขว้า อำเภอบ้านเขว้า ชัยภูมิ 36170  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ7dELpxQ3HzERxvBemZ5sqmw
586,586,ตลาดวัดลำดวล,4.70 (55),ตำบลในเมือง อำเภอเมืองหนองคาย หนองคาย 43000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVbZjJDERhSvoEsoLbk4
587,587,ตลาดนัดบางกระเบื้อง,4.40 (36),558R+696 ตำบลบางหลวง อำเภอสรรพยา ชัยนาท 17150  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJpcJ4PLCV4TARU7nz1uKvLzE
588,588,ตลาดสดเทศบาลตำบลเชียงใหม่,4.30 (132),6RV6+98P ตำบล เชียงใหม่ อำเภอ โพธิ์ชัย ร้อยเอ็ด 45230  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ1Q8ScGdbPTER4Ph7GGI7Fco
589,589,ตลาดชุมชนบ้านนาดี,3.80 (4),5H76+PP3 Highway 1007 ตำบล ดงสิงห์ อำเภอ จังหาร ร้อยเอ็ด 45000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJhYWdWe1VPTERgEN6fpOWwkQ
590,590,ตลาดค่ายสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช,4.30 (159),4F3P+RV7 ตำบล โพธิ์สัย อำเภอ ศรีสมเด็จ ร้อยเอ็ด 45280  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJldimbHiqIjERwfp6dUrOeWk
591,591,ตลาดสดอำเภอจตุรพักตรพิมาน,4.20 (259),ตำบล หัวช้าง อำเภอ จตุรพักตรพิมาน ร้อยเอ็ด 45180  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJdUZBHxj2FzER1rY4Ldvw6cs
592,592,ตลาดสดอำเภอเมืองสรวง,0.00 (0),RPG9+8XG ตำบล หนองผือ อำเภอ เมืองสรวง ร้อยเอ็ด 45220  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ-cU8ku_xFzER-K5yHGD6ViI
593,593,ตลาดนัดตาบา,4.20 (78),63PQ+7M3 Unnamed Road ตำบล เจ๊ะเห อำเภอ ตากใบ นราธิวาส 96110  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ3ToTRHSrtjERXAzERJ2nwn8
594,594,ตลาดโรงแรมเกนติ้ง,4.00 (325),2XF9+W2P ตำบล สุไหงโกลก อำเภอ สุไหงโกลก นราธิวาส 96120  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJTRzcP-MbtDERb_9tQ2fOIQ8
595,595,ถนนคนเดินนราธิวาส,4.10 (19),410 ถ. พิชิตบำรุง ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJKShUdWXxszERBlR8IedlozQ
596,596,ร้อยชั่งavenue,4.20 (198),159 ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10270  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJjzdxa8hfHTERzP6XbyGukZk
597,597,ตลาดกุนธรบางพลี,4.10 (787),228/21 หมู่11 ถ. เทพารักษ์ ตำบลบางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJlxAXVIVeHTERYfnB3e6e6nM
598,598,ตลาดรถไฟขจรวิทย์,4.30 (209),ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ231T95dfHTER-kR_SFXhO6U
